id,denekId,sayac,yatirim,rakip,secim,secimsure,kazanc,toplam
8,8,0,0,1,1,1389,20,20
9,8,1,1,1,1,1357,60,80
10,8,2,1,1,1,1560,60,140
11,8,3,0,1,1,515,20,160
12,8,4,0,1,1,1919,20,180
13,8,5,1,1,1,671,60,240
14,8,6,1,1,1,437,60,300
15,8,7,0,1,1,686,20,320
16,8,8,1,1,1,1700,60,380
17,8,9,0,1,1,858,20,400
18,8,10,0,1,1,952,20,420
19,8,11,1,1,1,671,60,480
20,8,12,1,1,1,531,60,540
21,8,13,0,1,1,499,20,560
22,8,14,0,1,1,499,20,580
23,8,15,1,1,1,1045,60,640
24,8,16,0,1,1,655,20,660
25,8,17,1,1,1,1185,60,720
26,8,18,0,1,1,421,20,740
27,8,19,1,1,1,702,60,800
28,8,20,0,1,1,670,20,820
29,8,21,1,0,1,670,0,820
30,8,22,1,1,1,1342,60,880
31,8,23,0,1,1,764,20,900
32,8,24,1,0,1,2371,0,900
33,8,25,1,0,1,842,0,900
34,8,26,0,1,1,343,20,920
35,8,27,0,1,1,468,20,940
36,8,28,1,1,1,702,60,1000
37,8,29,0,1,1,343,20,1020
38,8,30,0,1,1,920,20,1040
39,8,31,1,1,1,390,60,1100
40,8,32,0,1,1,842,20,1120
41,8,33,1,0,1,484,0,1120
42,8,34,0,1,1,499,20,1140
43,8,35,1,0,1,577,0,1140
44,8,36,0,1,1,499,20,1160
45,8,37,1,1,1,578,60,1220
46,8,38,0,1,1,749,20,1240
47,8,39,1,0,1,718,0,1240
48,8,40,0,1,1,593,20,1260
49,8,41,1,0,1,437,0,1260
50,8,42,0,1,1,405,20,1280
51,8,43,1,1,1,281,60,1340
52,8,44,0,1,1,406,20,1360
53,8,45,1,1,1,578,60,1420
54,8,46,1,1,1,421,60,1480
55,8,47,0,1,1,405,20,1500
56,8,48,1,1,1,390,60,1560
57,8,49,0,1,1,328,20,1580
58,8,50,1,1,1,374,60,1640
59,8,51,0,1,1,500,20,1660
60,8,52,1,1,1,687,60,1720
61,8,53,1,1,1,484,60,1780
62,8,54,0,1,1,436,20,1800
63,8,55,0,1,1,718,20,1820
64,8,56,0,1,1,421,20,1840
65,8,57,1,1,1,374,60,1900
66,8,58,0,1,1,281,20,1920
67,8,59,1,1,1,484,60,1980
74,15,0,1,1,1,187,60,60
75,15,1,0,1,1,640,20,80
76,15,2,1,1,1,733,60,140
77,15,3,1,1,1,1482,60,200
78,15,4,0,1,1,1716,20,220
79,15,5,1,1,1,1029,60,280
80,15,6,0,1,1,1872,20,300
81,15,7,1,1,1,1014,60,360
82,15,8,1,1,1,936,60,420
83,15,9,1,1,1,1623,60,480
84,15,10,1,1,1,1357,60,540
85,15,11,1,1,1,842,60,600
86,15,12,1,1,1,936,60,660
87,15,13,1,1,1,843,60,720
88,15,14,1,1,1,1186,60,780
89,15,15,1,1,1,1045,60,840
90,15,16,1,0,1,874,0,840
91,15,17,1,1,1,530,60,900
92,15,18,1,1,1,858,60,960
