id,denekId,sayac,yatirim,rakip,secim,secimsure,kazanc,toplam
1,1,0,0,1,0,0,0,0
2,1,1,0,1,0,0,0,0
3,2,0,0,1,0,0,0,0
4,2,1,1,1,1,905,30,30
5,2,2,0,1,1,874,10,40
6,2,3,1,1,1,640,30,70
7,2,4,1,0,1,608,0,70
8,2,5,1,1,1,702,30,100
9,2,6,1,1,1,733,30,130
10,2,7,1,1,1,624,30,160
11,2,8,0,1,1,483,10,170
12,2,9,1,1,1,608,30,200
13,2,10,1,0,1,827,0,200
14,2,11,1,0,1,780,0,200
15,2,12,1,1,1,609,30,230
16,2,13,1,1,1,608,30,260
17,2,14,0,1,1,546,10,270
18,2,15,1,1,1,640,30,300
19,2,16,1,1,1,499,30,330
20,2,17,1,0,1,733,0,330
21,2,18,0,1,1,515,10,340
22,2,19,1,1,1,515,30,370
23,2,20,1,1,1,858,30,400
24,2,21,1,1,1,655,30,430
25,2,22,1,0,1,780,0,430
26,2,23,1,1,1,593,30,460
27,2,24,1,1,1,577,30,490
28,2,25,1,1,1,530,30,520
29,2,26,1,1,1,546,30,550
30,2,27,1,0,1,843,0,550
31,2,28,1,1,1,811,30,580
32,2,29,0,1,1,889,10,590
33,2,30,1,0,1,734,0,590
34,2,31,1,1,1,609,30,620
35,2,32,1,0,1,468,0,620
36,2,33,1,0,1,734,0,620
37,2,34,1,0,1,780,0,620
38,2,35,1,1,1,1061,30,650
39,2,36,1,0,1,718,0,650
40,2,37,1,1,1,811,30,680
41,2,38,0,1,1,765,10,690
42,2,39,1,1,1,905,30,720
43,2,40,1,0,1,749,0,720
44,2,41,1,0,1,515,0,720
45,2,42,1,0,1,749,0,720
46,2,43,1,0,1,609,0,720
47,2,44,1,1,1,499,30,750
48,2,45,1,1,1,468,30,780
49,2,46,1,1,1,577,30,810
50,2,47,1,1,1,499,30,840
51,2,48,1,0,1,561,0,840
52,2,49,1,1,1,858,30,870
53,2,50,1,0,1,1108,0,870
54,2,51,1,1,1,765,30,900
55,2,52,1,0,1,499,0,900
56,2,53,1,1,1,827,30,930
57,2,54,1,0,1,670,0,930
58,2,55,1,0,1,811,0,930
59,2,56,1,0,1,530,0,930
60,2,57,1,1,1,765,30,960
61,2,58,1,1,1,562,30,990
62,2,59,1,1,1,764,30,1020
63,3,0,1,0,1,2527,0,0
64,3,1,1,1,1,952,30,30
65,3,2,1,1,1,609,30,60
66,3,3,1,1,1,1092,30,90
67,3,4,1,1,1,468,30,120
68,3,5,1,0,1,905,0,120
69,3,6,1,1,1,390,30,150
70,3,7,0,1,1,421,10,160
71,3,8,1,1,1,406,30,190
72,3,9,1,1,1,874,30,220
73,3,10,1,0,1,1762,0,220
74,3,11,1,1,1,967,30,250
75,3,12,0,1,1,936,10,260
76,3,13,0,1,1,437,10,270
77,3,14,1,0,1,374,0,270
78,3,15,1,1,1,312,30,300
79,3,16,1,1,1,359,30,330
80,3,17,1,1,1,374,30,360
81,3,18,1,0,1,468,0,360
82,3,19,1,0,1,640,0,360
83,3,20,1,0,1,577,0,360
84,3,21,1,1,1,374,30,390
85,3,22,1,1,1,1545,30,420
86,3,23,1,1,1,921,30,450
87,3,24,1,0,1,655,0,450
88,3,25,1,0,1,577,0,450
89,3,26,1,1,1,452,30,480
90,3,27,1,1,1,344,30,510
91,3,28,1,1,1,765,30,540
92,3,29,1,1,1,858,30,570
93,3,30,1,1,1,577,30,600
94,3,31,1,1,1,702,30,630
95,3,32,1,0,1,390,0,630
96,3,33,1,1,1,374,30,660
97,3,34,1,0,1,921,0,660
98,3,35,1,0,1,640,0,660
99,3,36,1,1,1,858,30,690
100,3,37,1,1,1,968,30,720
101,3,38,1,1,1,764,30,750
102,3,39,1,0,1,733,0,750
103,3,40,1,0,1,734,0,750
104,3,41,1,1,1,-2092648365,30,780
105,3,42,1,0,1,749,0,780
106,3,43,1,1,1,358,30,810
107,3,44,0,1,1,359,10,820
108,3,45,1,1,1,452,30,850
109,3,46,1,1,1,452,30,880
